,N° Etudiant,Nom,Prénom,Moyenne,Grade,Grade ECTS,code_UE,libelle_UE,responsable_UE,annee,nom_UV,code_UV,note,lieu
4057,2015_bb7c,Krause,Thomas,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4058,2015_1df5,Miller,Herbert,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4059,2015_8359,Sole,Curtis,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4060,2015_8332,Jackson,Samantha,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4061,2015_76cc,Olsen,Cassandra,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4062,2015_8e6d,Odom,Andrea,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4063,2015_0ae4,Vallejos,Richard,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4064,2015_40bf,Butler,Frank,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4065,2015_b856,Kozyra,Marco,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4066,2015_3355,Eder,Michael,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4067,2015_2f4f,Boise,Armando,20,au dessus,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,+,Nantes
4068,2015_e1ef,Halyk,Esperanza,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4069,2015_9438,Fuhr,Richard,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4070,2015_5c01,Green,Eric,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4071,2015_f0b2,Hetzler,Larry,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4072,2015_3d81,Dooley,Barbara,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4073,2015_9316,Abbott,Olivia,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4074,2015_6798,Obrien,William,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4075,2015_0b32,Stover,Mary,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4076,2015_045c,Howe,Jesus,0,en dessous,F,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,-,Nantes
4077,2015_4d63,Nappi,Inez,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
